'jobTitle', 'jobCity', 'jobState', 'jobLongitude', 'jobLatitude', 'jobUrl', 'glassdoorID', 'companyName', 'industryName', 'sectorName', 'numberOfRatings', 'ceo_name', 'ceo_title', 'ceo_numberOfRatings', 'ceo_pctApprove', 'recommendToFriendRating', 'seniorLeadershipRating', 'overallRatingDescription', 'overallRating', 'compensationAndBenefitsRating', 'workLifeBalanceRating', 'cultureAndValuesRating', 'careerOpportunitiesRating', 'featuredReview_overall', 'featuredReview_headline', 'featuredReview_pros', 'featuredReview_cons', 'featuredReview_currentJob', 'featuredReview_jobTitle', 'featuredReview_reviewDateTime', 'featuredReview_location', 'isEEP', 'website', 'squareLogo', 'featuredReview_attributionURL'
'NEW Store Now Hiring!', 'Bluffton', 'SC', '-80.85714', '32.236263', 'http://www.indeed.com/viewjob?jk=5f5cf3937add24ee&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
'New Store Now Hiring!', 'Orlando', 'FL', '-81.37912', '28.535715', 'http://www.indeed.com/viewjob?jk=37b26831fd31331a&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
'Help Wanted', 'Gresham', 'OR', '-122.42857', '45.497253', 'http://www.indeed.com/viewjob?jk=0f041ca75eb06003&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
'Help Wanted', 'Miami Gardens', 'FL', '-80.24176', '25.93956', 'http://www.indeed.com/viewjob?jk=5c982d02908523fc&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
'Help Wanted', 'Mesa', 'AZ', '-111.81868', '33.42033', 'http://www.indeed.com/viewjob?jk=a0163c7a02bf3e3f&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
'Help Wanted', 'Sevierville', 'TN', '-83.56044', '35.868134', 'http://www.indeed.com/viewjob?jk=3d18fceefbff4a2c&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
'Help Wanted', 'Beaverton', 'OR', '-122.8022', '45.486263', 'http://www.indeed.com/viewjob?jk=7d5b22e6b2c99fd7&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm']
['Help Wanted', 'Marietta', 'GA', '-84.54945', '33.95055', 'http://www.indeed.com/viewjob?jk=9e2258e4d197079e&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
'Help Wanted', 'Warr Acres', 'OK', '-97.61539', '35.521976', 'http://www.indeed.com/viewjob?jk=823c88c2cfe3f185&qd=0wr-hWCoLLiZaFmT2DdF1X1X4goNpXQ9jMyEaYqVwtrHQj4Y_7uevBgBj8xWP_coGyJ6gHcfKOuaycC6hRNedgYDPhiD-qXziYfxR3p-T9w1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=3056304536573688&atk=1b2pmg7sgafnrdbg', '715', 'Walmart', 'General Merchandise & Superstores', 'Retail', '21789', 'Doug McMillon', 'CEO', '5411', '65', '55', '2.7', 'OK', '3.1', '3.1', '2.8', '3.0', '3.3', '5', 'from an asst store manager', 'advancement opportunities great at developing skills  great place to learn a skill and grow your resume  or grow with the company', 'understaffing issues negatively affects all parts of their business however  walmart has increased their minimum hourly rate with hopes to attract more committed employees  and retain better employees', 'False', 'assistant store manager', '2015-06-02 07:55:18.903', 'Amarillo, TX', 'True', 'corporate.walmart.com', 'https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png', 'http://www.glassdoor.com/Reviews/Employee-Review-Walmart-RVW6773399.htm'
s
